Rank;Country;Region;Documents;Citable documents;Citations;Self-citations;Citations per document;H index
194;Cape Verde;Africa;20;18;71;3;3.55;20
195;Vanuatu;Pacific Region;20;19;70;6;3.5;33
196;Cayman Islands;Latin America;17;16;34;1;2;24
197;Timor-Leste;Asiatic Region;17;15;85;5;5;21
198;Guam;Pacific Region;16;16;40;1;2.5;53
199;Djibouti;Africa;16;16;97;3;6.06;23
200;Equatorial Guinea;Africa;14;13;55;10;3.93;31
201;Turkmenistan;Asiatic Region;14;14;137;14;9.79;14
202;Dominica;Latin America;14;13;85;2;6.07;38
203;Federated States of Micronesia;Pacific Region;12;12;392;3;32.67;32
204;Saint Lucia;Latin America;11;10;33;1;3;18
205;Northern Mariana Islands;Asiatic Region;9;8;17;0;1.89;11
206;Anguilla;Latin America;9;8;180;0;20;22
207;Tonga;Pacific Region;8;7;28;0;3.5;29
208;Comoros;Africa;8;8;35;2;4.38;21
209;Palau;Pacific Region;7;6;19;2;2.71;20
210;Sao Tome and Principe;Africa;7;7;16;1;2.29;17
211;Saint Martin (Dutch);Latin America;6;5;9;0;1.5;2
212;Falkland Islands (Malvinas);Latin America;6;5;22;1;3.67;14
213;American Samoa;Pacific Region;5;5;3;0;0.6;23
214;Marshall Islands;Pacific Region;5;4;2;0;0.4;18
215;Virgin Islands (U.S.);Latin America;4;4;20;2;5;22
216;Vatican City State;Western Europe;4;2;28;1;7;5
217;Mayotte;Africa;3;3;1;0;0.33;12
218;Saint Martin (French);Latin America;3;3;4;0;1.33;1
219;Kiribati;Pacific Region;3;3;13;0;4.33;12
220;Virgin Islands (British);Latin America;2;2;11;0;5.5;11
221;Cook Islands;Pacific Region;2;2;4;0;2;11
222;British Indian Ocean Territory;Africa;2;2;251;0;125.5;4
223;Saint Pierre and Miquelon;Northern America;2;2;119;0;59.5;3
224;Wallis and Futuna;Pacific Region;1;0;0;0;0;6
225;South Georgia and the South Sandwich Islands;Latin America;1;1;1;0;1;3
226;Western Sahara;Africa;1;1;0;0;0;1
