Abbreviation (Data source);Name (ICD-10 chapter)
TriNetX;Neoplasms
TriNetX;Endocrine, nutritional and metabolic diseases
TriNetX;Diseases of the circulatory system
TriNetX;Diseases of the circulatory system
TriNetX;Codes for special purposes (COVID-19)
TriNetX;other
TriNetX;Endocrine, nutritional and metabolic diseases
TriNetX;Diseases of the circulatory system
TriNetX;Codes for special purposes (COVID-19)
TriNetX;Neoplasms
TriNetX;Codes for special purposes (COVID-19)
TriNetX;Mental and behavioural disorders
TriNetX;Diseases of the circulatory system
NPS;other
NPS;Certain infectious and parasitic diseases
NPS;other
SLaM NHS;Mental and behavioural disorders
InGef;other
InGef;Diseases of the circulatory system
SLaM NHS;Mental and behavioural disorders
SAIL;Mental and behavioural disorders
VUMC;Mental and behavioural disorders
VUMC;other
VUMC;other
VUMC;other
VUMC;other
VUMC;other
VUMC;Neoplasms
SLaM NHS;Mental and behavioural disorders
VUMC;Mental and behavioural disorders
VUMC;Mental and behavioural disorders
InGef;Endocrine, nutritional and metabolic diseases
VUMC;Diseases of the circulatory system
VUMC;Endocrine, nutritional and metabolic diseases
VUMC;other
VUMC;other
VUMC;other
VUMC;Diseases of the circulatory system
VUMC;Diseases of the circulatory system
VUMC;Neoplasms
VUMC;Diseases of the circulatory system
VUMC;Neoplasms
VUMC;other
CPRD;other
SAIL;Diseases of the circulatory system
VUMC;Mental and behavioural disorders
VUMC;Neoplasms
VUMC;Diseases of the circulatory system
VUMC;Diseases of the circulatory system
VUMC;Diseases of the circulatory system
VUMC;other
VUMC;Endocrine, nutritional and metabolic diseases
VUMC;other
VUMC;Diseases of the circulatory system
VUMC;Neoplasms
SAIL;other
CPRD;other
VUMC;other
VUMC;other
VUMC;Diseases of the circulatory system
VUMC;other
VUMC;Endocrine, nutritional and metabolic diseases
VUMC;Mental and behavioural disorders
VUMC;other
VUMC;Neoplasms
VUMC;Diseases of the circulatory system
VUMC;Diseases of the circulatory system
VUMC;Diseases of the circulatory system
VUMC;other
VUMC;Certain infectious and parasitic diseases
VUMC;Certain infectious and parasitic diseases
